recipe_id,ingredients,cooking_instructions,recipe_name,Net Price,image_path
1,"chicken, rice, onion, garlic, soy sauce",1. Cook rice. 2. Cook chicken with onion and garlic. 3. Combine cooked rice and chicken. 4. Add soy sauce.,Chicken Fried Rice,400,Recipes Pictures\Chicken Fried Rice.jpeg
2,"pasta, tomato sauce, ground beef, onion, garlic","1. Cook pasta. 2. Cook ground beef with onion and garlic. 3. Combine cooked pasta, beef, and tomato sauce.",Spaghetti Bolognese,450,Recipes Pictures\Spaghetti Bolognese.jpeg
3,"salmon, lemon, dill, olive oil",1. Season salmon with lemon and dill. 2. Grill the salmon. 3. Drizzle with olive oil.,Grilled Salmon,700,Recipes Pictures\Grilled Salmon.jpeg
4,"potato, butter, milk",1. Boil potatoes. 2. Mash potatoes and add butter and milk.,Mashed Potatoes,300,Recipes Pictures\Mashed Potatoes.jpeg
5,"lettuce, tomato, cucumber, onion, olive oil",1. Chop vegetables. 2. Combine vegetables. 3. Drizzle with olive oil.,Greek Salad,500,Recipes Pictures\Greek Salad.jpeg
6,"beef, onion, bell pepper, tomato, cumin",1. Cook beef with onion and bell pepper. 2. Add tomato and cumin. 3. Serve with tortillas.,Beef Fajitas,1250,Recipes Pictures\Beef Fajitas.jpeg
7,"chicken, tortilla, lettuce, cheese, salsa",1. Cook chicken. 2. Assemble ingredients in tortilla. 3. Top with cheese and salsa.,Chicken Tacos,800,Recipes Pictures\Chicken Tacos.jpeg
8,"rice, beans, avocado, tomato, cilantro","1. Cook rice. 2. Mix with beans, avocado, tomato, and cilantro.",Rice and Beans Bowl,300,Recipes Pictures\Rice and Beans Bowl.jpeg
9,"egg, cheese, spinach, tomato, onion","1. Scramble eggs. 2. Add cheese, spinach, tomato, and onion.",Spinach and Cheese Omelette,250,Recipes Pictures\Spinach and Cheese Omelette.jpeg
11,"quinoa, black beans, corn, bell pepper, lime","1. Cook quinoa. 2. Mix with black beans, corn, bell pepper, and lime dressing.",Quinoa Salad,450,Recipes Pictures\Quinoa Salad.jpeg
12,"shrimp, pasta, garlic, butter, lemon",1. Cook pasta. 2. Sauté shrimp with garlic and butter. 3. Combine with pasta and lemon.,Garlic Lemon Shrimp Pasta,950,Recipes Pictures\Garlic Lemon Shrimp Pasta.jpeg
13,"salmon, asparagus, lemon, olive oil",1. Season salmon and asparagus with lemon and olive oil. 2. Roast in the oven.,Roasted Salmon and Asparagus,1000,Recipes Pictures\Roasted Salmon and Asparagus.jpeg
14,"chicken, broccoli, teriyaki sauce, sesame seeds",1. Cook chicken. 2. Steam broccoli. 3. Toss with teriyaki sauce and sesame seeds.,Teriyaki Chicken with Broccoli,750,Recipes Pictures\Teriyaki Chicken with Broccoli.jpeg
16,"penne pasta, cream, parmesan cheese, bacon, peas","1. Cook pasta. 2. Combine with cream, parmesan cheese, cooked bacon, and peas.",Creamy Bacon Pea Pasta,650,Recipes Pictures\Creamy Bacon Pea Pasta.jpeg
17,"ground turkey, onion, garlic, chili powder, beans",1. Cook ground turkey with onion and garlic. 2. Add chili powder and beans.,Turkey Chili,250,Recipes Pictures\Turkey Chili.jpeg
18,"potatoes, bell pepper, onion, sausage, eggs",1. Cook potatoes and sausage with bell pepper and onion. 2. Add eggs.,Sausage and Potato Skillet,800,Recipes Pictures\Sausage and Potato Skillet.jpeg
19,"salmon, cucumber, yogurt, dill, lemon","1. Grill salmon. 2. Mix yogurt with cucumber, dill, and lemon. 3. Serve with salmon.",Grilled Salmon with Cucumber Yogurt Sauce,900,Recipes Pictures\Grilled Salmon with Cucumber Yogurt Sauce.jpeg
20,"pasta, broccoli, garlic, red pepper flakes, olive oil",1. Cook pasta. 2. Sauté broccoli and garlic with red pepper flakes and olive oil. 3. Combine with pasta.,Garlic Broccoli Pasta,400,Recipes Pictures\Garlic Broccoli Pasta.jpeg
21,"chicken, bell pepper, onion, pineapple, soy sauce",1. Cook chicken with bell pepper and onion. 2. Add pineapple and soy sauce.,Sweet and Sour Chicken,600,Recipes Pictures\Sweet and Sour Chicken.jpeg
22,"rice, ground beef, onion, bell pepper, tomato",1. Cook rice. 2. Cook ground beef with onion and bell pepper. 3. Add tomato.,Stuffed Bell Peppers,300,Recipes Pictures\Stuffed Bell Peppers.jpeg
23,"pasta, shrimp, garlic, butter, parsley",1. Cook pasta. 2. Sauté shrimp with garlic and butter. 3. Combine with pasta and parsley.,Garlic Butter Shrimp Pasta,900,Recipes Pictures\Garlic Butter Shrimp Pasta.jpeg
24,"beef, tortilla, cheese, lettuce, salsa",1. Cook beef. 2. Assemble ingredients in tortilla. 3. Top with cheese and salsa.,Beef Burritos,1100,Recipes Pictures\Beef Burritos.jpeg
25,"egg, spinach, mushroom, onion, cheese","1. Sauté spinach, mushroom, and onion. 2. Add scrambled eggs. 3. Top with cheese.",Spinach Mushroom Breakfast Scramble,550,Recipes Pictures\Spinach Mushroom Breakfast Scramble.jpeg
26,"salmon, lemon, rosemary, butter",1. Season salmon with lemon and rosemary. 2. Cook in butter.,Lemon Rosemary Salmon,840,Recipes Pictures\Lemon Rosemary Salmon.jpeg
27,"chicken, teriyaki sauce, pineapple, bell pepper, onion","1. Cook chicken. 2. Toss with teriyaki sauce, pineapple, bell pepper, and onion.",Teriyaki Chicken Stir-Fry,950,Recipes Pictures\Teriyaki Chicken Stir-Fry.jpeg
28,"quinoa, chicken, black beans, corn, avocado","1. Cook quinoa and chicken. 2. Mix with black beans, corn, and avocado.",Quinoa Chicken Bowl,1100,Recipes Pictures\Quinoa Chicken Bowl.jpeg
29,"pasta, pesto sauce, tomato, mozzarella cheese, basil","1. Cook pasta. 2. Toss with pesto sauce, tomato, mozzarella cheese, and basil.",Pesto Caprese Pasta,650,Recipes Pictures\Pesto Caprese Pasta.jpeg
30,"shrimp, avocado, tomato, onion, cilantro","1. Sauté shrimp. 2. Mix with diced avocado, tomato, onion, and cilantro.",Shrimp Avocado Salsa,950,Recipes Pictures\Shrimp Avocado Salsa.jpeg
31,"chicken, barbecue sauce, corn, black beans, cilantro","1. Cook chicken. 2. Mix with barbecue sauce, corn, black beans, and cilantro.",Barbecue Chicken Salad,850,Recipes Pictures\Barbecue Chicken Salad.jpeg
32,"rice, beef, broccoli, carrot, soy sauce",1. Cook rice. 2. Cook beef with broccoli and carrot. 3. Add soy sauce.,Beef and Broccoli Stir-Fry,1150,Recipes Pictures\Beef and Broccoli Stir-Fry.jpeg
33,"pasta, tomato sauce, garlic, olive oil, basil",1. Cook pasta. 2. Sauté garlic in olive oil. 3. Add tomato sauce and basil.,Classic Tomato Pasta,400,Recipes Pictures\Classic Tomato Pasta.jpeg
34,"salmon, garlic, lemon, olive oil, thyme","1. Season salmon with garlic, lemon, olive oil, and thyme. 2. Roast in the oven.",Roasted Lemon Thyme Salmon,1050,Recipes Pictures\Roasted Lemon Thyme Salmon.jpeg
35,"chicken, onion, bell pepper, tomato, chili powder",1. Cook chicken with onion and bell pepper. 2. Add tomato and chili powder.,Chicken Fajitas,1000,Recipes Pictures\Chicken Fajitas.jpeg
36,"potatoes, bacon, cheddar cheese, green onion, sour cream","1. Cook potatoes. 2. Top with cooked bacon, cheddar cheese, green onion, and sour cream.",Loaded Baked Potatoes,450,Recipes Pictures\Loaded Baked Potatoes.jpeg
37,"beef, cheese, lettuce, tomato, onion","1. Cook beef. 2. Assemble ingredients in buns. 3. Top with cheese, lettuce, tomato, and onion.",Cheeseburgers,600,Recipes Pictures\Cheeseburgers.jpeg
38,"rice, chicken, bell pepper, onion, pineapple",1. Cook rice. 2. Cook chicken with bell pepper and onion. 3. Add pineapple.,Pineapple Chicken Rice Bowl,950,Recipes Pictures\Pineapple Chicken Rice Bowl.jpeg
39,"pasta, chicken, alfredo sauce, broccoli, garlic",1. Cook pasta. 2. Cook chicken with garlic. 3. Combine with alfredo sauce and steamed broccoli.,Chicken Alfredo with Broccoli,900,Recipes Pictures\Chicken Alfredo with Broccoli.jpeg
40,"shrimp, garlic, lemon, butter, parsley",1. Sauté shrimp with garlic and butter. 2. Squeeze lemon and add parsley.,Garlic Lemon Butter Shrimp,950,Recipes Pictures\Garlic Lemon Butter Shrimp.jpeg
41,"chicken, lemon, garlic, rosemary, olive oil","1. Season chicken with lemon, garlic, rosemary, and olive oil. 2. Roast in the oven.",Lemon Rosemary Roast Chicken,1400,Recipes Pictures\Lemon Rosemary Roast Chicken.jpeg
42,"rice, tofu, broccoli, carrot, soy sauce",1. Cook rice. 2. Sauté tofu with broccoli and carrot. 3. Add soy sauce.,Tofu Stir-Fry,650,Recipes Pictures\Tofu Stir-Fry.jpeg
43,"pasta, marinara sauce, mushroom, onion, basil",1. Cook pasta. 2. Sauté mushroom and onion. 3. Add marinara sauce and basil.,Mushroom Marinara Pasta,1100,Recipes Pictures\Mushroom Marinara Pasta.jpeg
44,"salmon, spinach, lemon, garlic, olive oil",1. Season salmon with lemon and garlic. 2. Sauté spinach with olive oil. 3. Serve with salmon.,Garlic Spinach Salmon,950,Recipes Pictures\Garlic Spinach Salmon.jpeg
45,"chicken, ranch dressing, bacon, cheese, lettuce","1. Cook chicken. 2. Assemble ingredients in wraps. 3. Top with ranch dressing, bacon, cheese, and lettuce.",Chicken Ranch Wraps,700,Recipes Pictures\Chicken Ranch Wraps.jpeg
47,"pasta, pesto sauce, chicken, sun-dried tomato, spinach","1. Cook pasta and chicken. 2. Toss with pesto sauce, sun-dried tomato, and spinach.",Pesto Chicken Pasta,800,Recipes Pictures\Pesto Chicken Pasta.jpeg
48,"shrimp, pasta, tomato, garlic, chili flakes","1. Cook pasta. 2. Sauté shrimp with tomato, garlic, and chili flakes. 3. Combine with pasta.",Spicy Tomato Shrimp Pasta,950,Recipes Pictures\Spicy Tomato Shrimp Pasta.jpeg
49,"beef, potato, carrot, onion, beef broth","1. Cook beef with onion. 2. Add potato, carrot, and beef broth. 3. Simmer until vegetables are tender.",Beef Stew,1050,Recipes Pictures\Beef Stew.jpeg
